,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
2051,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Asian Dub Foundation,Flyover,39,GB45A1500058,https://www.youtube.com/watch?v=6m3z3IAtlzk,1114043
6152,electro-industrial,spotify:playlist:0ZVLhUadGf0IkCOecGIgtf,Tyske Ludder,March,16,FR26V1411205,https://www.youtube.com/watch?v=WhY3165vCpg,100330
8201,ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,DJ Godfather,Love-Hate Mashup Mix 1,28,USAQB0951409,https://www.youtube.com/watch?v=fqrkwSk0V2c,28047
14349,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Mathias Fekjær,A Passage In Time,15,QMPKX1319502,https://www.youtube.com/watch?v=4AJEbU6xH_E,19463
6169,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,"Keith Rowe,Yoshihide Otomo,Taku Sugimoto",Improvisation PT. 6,7,ATD410002008,https://www.youtube.com/watch?v=EBnpVvZ8hi4,34
16409,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"EDX,Jess Ball",I Found You (Neptune),29,CH3131901465,https://www.youtube.com/watch?v=AjViPqP-JGc,281570
14364,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Warp Technique,Make Animals Happy,21,USQY50817997,https://www.youtube.com/watch?v=JAchCwsiWR0,3615
2079,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Indian Ropeman,66 Meters - Radio Edit,19,GBBMQ9900002,https://www.youtube.com/watch?v=UpRGcqCnZ2s,36
34,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Luke Vibert,I Love Acid,36,GBBPW0300175,https://www.youtube.com/watch?v=cmoFNya6P4Q,920697
16419,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"Vijay & Sofia Zlatko,Notte",Earth Groove,27,IT0311600101,https://www.youtube.com/watch?v=DGh-ntfyGXU,229659
37,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,"Dave Clarke,Chicks On Speed",What Was Her Name (feat. Chicks on Speed),35,GBBMQ0300136,https://www.youtube.com/watch?v=g7FSBiyBTfs,43521
6186,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,English,Long Road Home,13,TCADA1706959,https://www.youtube.com/watch?v=fNP5PaKXlN8,651510
12330,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Farben,As Long As There's Love Around,26,DELA21100080,https://www.youtube.com/watch?v=n53XaM2n5sA,38972
10300,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,Boredoms,Jet Net,17,JPB620901701,https://www.youtube.com/watch?v=01E-KAepv2s,2383
10309,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,385,Invisible Universe,11,TCJPL2003836,https://www.youtube.com/watch?v=f4evlbAAUtI,1886
2119,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,Lifeformed,Undiscovery,40,TCACB1402989,https://www.youtube.com/watch?v=DwRGwAJ3hXg,5605
12359,minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Grauzone,Eisbär,39,DETB31800774,https://www.youtube.com/watch?v=HhtxqvAlIpo,9683645
4175,deconstructed club,spotify:playlist:3uwJeZkSKE219OiTdOV0b0,Chino Amobi,BLACKOUT,8,USA2B1701262,https://www.youtube.com/watch?v=rVSeautEVuk,394
12375,minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Section 25,Hit,32,GBHBR0400110,https://www.youtube.com/watch?v=7GJxO-mBnoY,32352
2139,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,"Yasutaka Nakata,Charli XCX,Kyary Pamyu Pamyu",Crazy Crazy (feat. Charli XCX & Kyary Pamyu Pamyu),32,JPWP01671841,https://www.youtube.com/watch?v=JV3eoboDv2g,4401141
14427,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,4Corners Crew,La Revolucion,17,FR2W01300098,https://www.youtube.com/watch?v=SzLJ5dg_vt0,768
4200,deconstructed club,spotify:playlist:3uwJeZkSKE219OiTdOV0b0,"Malibu,Kelly Moran",Lost At Sea - Kelly Moran remix,35,USYBL2002051,https://www.youtube.com/watch?v=XoW_TKoETWE,1324
107,acid jazz,spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ,Vibraphonic,Trust Me,7,GBBTV1101467,https://www.youtube.com/watch?v=G5uNM_OaUqs,1151
16493,uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,The Fives,What You Do (Hottest By Far),25,GBHLW1111330,https://www.youtube.com/watch?v=QOcefsTgbhE,202285
8303,glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Matmos,No Concept,24,USTJ22052609,https://www.youtube.com/watch?v=S71q3vNBK4E,19561
8305,glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Pole,Rost,23,GBR8R2100006,https://www.youtube.com/watch?v=oQrwLigp54Y,1987
14470,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,"Subtifuge,Mr. Williamz,Marcus Visionary",Ganja Dadda - Marcus Visionary Remix,18,IEFVX1300060,https://www.youtube.com/watch?v=hxlMcGhw9bY,529
150,acid jazz,spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ,New Jersey Kings,Green Screen,25,GBBTV0800953,https://www.youtube.com/watch?v=oZKAYJb7qvM,2691
10395,jazz house,spotify:playlist:4L9GKyeqZOi5rHUoqDZd6z,Herr Krank,Acid Jazz,34,FR96X1931659,https://www.youtube.com/watch?v=LF5N8YZVAxQ,1685548
10402,jazz house,spotify:playlist:4L9GKyeqZOi5rHUoqDZd6z,Paul Rudder,Should Get Involved?,31,DEGL61900102,https://www.youtube.com/watch?v=uYpgGi8u7NA,22415
14511,raggatek,spotify:playlist:4UPY78QrXrmlSAE722apfN,Strez,Ragga Fun,29,FR6V80544841,https://www.youtube.com/watch?v=AQE5TtoWuVw,1107756
6322,electroclash,spotify:playlist:2lvWEEJ981sRN5GQzBvayl,Soldout,Forever,30,BEN281700045,https://www.youtube.com/watch?v=d-tF1soqJhM,112778
2228,bleep techno,spotify:playlist:74l4cXfulumPoQ7EyasgY8,Cabaret Voltaire,"Nag, Nag, Nag",26,GBAJH0402421,https://www.youtube.com/watch?v=jCvTCw4dLFA,132134
14516,raggatek,spotify:playlist:4UPY78QrXrmlSAE722apfN,TLB,Border Line,8,FR2W01200074,https://www.youtube.com/watch?v=DKtTVswsga8,329
16570,uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,K.I.G,"Head, Shoulders, Kneez & Toez - Radio Edit",41,GBUM70902107,https://www.youtube.com/watch?v=PmHClIHgnRI,8240887
12490,moombahton,spotify:playlist:7iszolrnuUqc01LQaBqqII,"ETC!ETC!,Audio Kartel",Bang,28,USYBL2100460,https://www.youtube.com/watch?v=fSldZSSjQHU,538
6353,electroclash,spotify:playlist:2lvWEEJ981sRN5GQzBvayl,Crossover,Phogtographt,13,USFDB0610961,https://www.youtube.com/watch?v=vT5XkdtF3yM,815
2262,bleep techno,spotify:playlist:74l4cXfulumPoQ7EyasgY8,Jerome Hill,Chinzmania,12,GBQLP2001008,https://www.youtube.com/watch?v=2FsYpcllyzQ,275
8410,goa trance,spotify:playlist:7iuklwaJAAJFkN7FEGPDvo,Agneton,Back To Hyperion - Original Mix,16,GBKQU1386837,https://www.youtube.com/watch?v=kFKWuzvnTy0,818
16603,uk garage,spotify:playlist:62PxpGVt45pYZ8O66VVZWP,Jeremy Sylvester,Realise,30,GBKWG1000048,https://www.youtube.com/watch?v=tCOB9Oeonhk,447
8418,goa trance,spotify:playlist:7iuklwaJAAJFkN7FEGPDvo,Toi Doi,Liquid Cosmos,13,IL1211708606,https://www.youtube.com/watch?v=BjG4qucqcyo,4369
12518,moombahton,spotify:playlist:7iszolrnuUqc01LQaBqqII,"Max RubaDub,Luciano",Trust And Obey,15,CH7811714893,https://www.youtube.com/watch?v=rubyDfoyTHQ,16032
247,acid techno,spotify:playlist:1f0ODk7IQYTRx3PxZlCeAy,Tesox,Prophetic Steps,27,DEE829600630,https://www.youtube.com/watch?v=CoW-0kaCfpY,87761
2297,boogie,spotify:playlist:4vLb33ufLI6jjyGh4jpz9P,The Family's Jam,Funkylectric - Original Mix,7,QMSNZ1509447,https://www.youtube.com/watch?v=De-d3jCvcfA,2612
4345,deep house,spotify:playlist:4ZRv1fFjjwpgAcosytT3bd,Atjazz,Harmony - Dixon's Late Night Remix,37,GBZVM0900077,https://www.youtube.com/watch?v=nduVJxkuKKU,3135
12537,neurofunk,spotify:playlist:4Pbi9IXKK2lD9VnHO2wGxO,Typecell,Bad Illusion (Black Sun Empire Remix),8,USA2P1272578,https://www.youtube.com/watch?v=RunkjktX6Eg,5543
252,acid techno,spotify:playlist:1f0ODk7IQYTRx3PxZlCeAy,90 Process,Should We Call It Trance,24,UKA2G1710009,https://www.youtube.com/watch?v=aBcjGngnjGw,25628
4363,deep house,spotify:playlist:4ZRv1fFjjwpgAcosytT3bd,"Elements Of Life,Lisa Fischer,Cindy Mizelle,Louie Vega",Into My Life (You Brought The Sunshine) - Louie Vega Roots Mix,25,GBLV61810868,https://www.youtube.com/watch?v=EgTK7BJfr60,19281
8462,gqom,spotify:playlist:0V6rAUFWyVrTdxt701eZDh,"Dj Gukwa,Tipcee,Emza,DJ Tira",Amadada,8,ZAY361700446,https://www.youtube.com/watch?v=JbEhjN5lCo8,1390537
16660,uk garage,spotify:playlist:62PxpGVt45pYZ8O66VVZWP,Genius Cru,Boom Selection,31,GBKQU1703945,https://www.youtube.com/watch?v=KuZI6Zbd3kc,14157
10520,jazztronica,spotify:playlist:69OpOkQ8dkxZGn4If6ry6G,"Elusive,Chris Keys,Josh Howard,Josh Koslow",Chants To The Kosmos,29,US25X2101512,https://www.youtube.com/watch?v=df_jg81YA00,80
14623,rawstyle,spotify:playlist:1EICh4qNolTgW5VnUDpXg7,"Imperatorz,Aversion",Valhalla,43,NLS762000028,https://www.youtube.com/watch?v=CSMGJjtXp7Q,186752
10528,jazztronica,spotify:playlist:69OpOkQ8dkxZGn4If6ry6G,Nuspirit Helsinki,Trying (Butti 49 Nu-Niveau Mix),23,FR6F31341750,https://www.youtube.com/watch?v=Dbqa1z7jTCQ,92755
12581,neurofunk,spotify:playlist:4Pbi9IXKK2lD9VnHO2wGxO,Unknown Error,Yearning,32,GBTHC0800041,https://www.youtube.com/watch?v=dU149pSIjDI,143353
6445,electronica,spotify:playlist:6I0NsYzfoj7yHXyvkZYoRx,Nathan Fake,The Sky Was Pink - Holden Remix,44,GBUZD0800603,https://www.youtube.com/watch?v=6jmZTtFxcUg,3092817
6446,electronica,spotify:playlist:6I0NsYzfoj7yHXyvkZYoRx,Plaid,Do Matter,44,GBBPW1500318,https://www.youtube.com/watch?v=bfjpo4WbK00,468646
4401,detroit techno,spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB,The Astec Mystic,Jaguar,37,USGUM0810115,https://www.youtube.com/watch?v=C6xVKcvze74,501774
16690,uplifting trance,spotify:playlist:2bV5j3UH5k9rMxJywzTYKu,Estiva,Alive,41,NLF711803087,https://www.youtube.com/watch?v=H0J82aBocKs,36558
2372,boogie,spotify:playlist:4vLb33ufLI6jjyGh4jpz9P,First Touch,You Got It Baby,10,QZ5FN2118954,https://www.youtube.com/watch?v=PODsXMm70Ss,2705
8518,gqom,spotify:playlist:0V6rAUFWyVrTdxt701eZDh,"Master Dee,Olothando",Iinyembezi ZikaGogo,26,ZA3KW1700018,https://www.youtube.com/watch?v=B7i0v8Q-8lM,305794
